#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/bayseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//bayseq/bayseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//bayseq/bayseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//bayseq/bayseq_package_default.db
# Output created at: 08:07:38
GeneID	log2foldchange	significance	WT	Snf2	GeneName	Description	Chromosome	Start	End	Strand
YDR342C	-2.66556834843369	0	23429.34	3692.7	HXT7	High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels 	IV	1154216	1155928	-1
YDR077W	-3.16666483738761	0	43393.34	4832.39	SED1	Major stress-induced structural GPI-cell wall glycoprotein in stationary-phase cells, associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites 	IV	600793	601809	1
YML123C	-4.38610694373023	0	8678.61	415.05	PHO84	High-affinity inorganic phosphate (Pi) transporter and low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p 	XIII	24037	25800	-1
YGR234W	-3.94941648494449	0	5377.24	348.07	YHB1	Nitric oxide oxidoreductase, flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses 	VII	959904	961103	1
YER081W	3.41280226318405	0	868.78	9252.64	SER3	3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis; isozyme of Ser33p 	V	322686	324095	1
YOR153W	-2.50282496109466	0	12163.8	2146.07	PDR5	Plasma membrane ATP-binding cassette (ABC) transporter, multidrug transporter actively regulated by Pdr1p; also involved in steroid transport, cation resistance, and cellular detoxification during exponential growth 	XV	619840	624375	1
YHR092C	-2.20576258965306	0	13144.02	2849.23	HXT4	High-affinity glucose transporter of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose 	VIII	287081	288811	-1
YOR290C	-7.27455450979426	0	1487.93	9.61	SNF2	Catalytic subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; contains DNA-stimulated ATPase activity; functions interdependently in transcriptional activation with Snf5p and Snf6p 	XV	855147	860258	-1
YDR343C	-2.45716423466013	0	13262.41	2415.14	HXT6	High-affinity glucose transporter of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3 	IV	1159608	1161320	-1
YDR033W	-3.50226384699113	0	7258.83	640.59	MRH1	Protein that localizes primarily to the plasma membrane, also found at the nuclear envelope; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; has similarity to Hsp30p and Yro2p 	IV	508147	509109	1
YHR215W	-4.18508958316168	0	2298.15	126.34	PHO12	One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway; nearly identical to Pho11p; upregulated by phosphate starvation 	VIII	552099	553502	1
YAR071W	-3.98651323104003	0	2919.46	184.18	PHO11	One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2 	I	225460	226863	1
YPL061W	-1.22162475635518	0	17654.73	7570.34	ALD6	Cytosolic aldehyde dehydrogenase, activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress 	XVI	432588	434090	1
YER011W	-3.95998258004788	0	2795.61	179.64	TIR1	Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking 	V	175248	176012	1
YFR015C	-2.78199385490192	0	8968.46	1303.93	GSY1	Glycogen synthase with similarity to Gsy2p, the more highly expressed yeast homolog; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase 	VI	174265	176391	-1
YHR174W	-0.828905678077486	0	169400.51	95365.05	ENO2	Enolase II, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression is induced in response to glucose 	VIII	451327	452640	1
YBR067C	-2.63060716417721	0	6756.85	1091.07	TIP1	Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins 	II	372103	372735	-1
YHR136C	-4.42602790433778	0	822.24	38.25	SPL2	Protein with similarity to cyclin-dependent kinase inhibitors; downregulates low-affinity phosphate transport during phosphate limitation; overproduction suppresses a plc1 null mutation; GFP-fusion protein localizes to the cytoplasm 	VIII	374654	375100	-1
YIL169C	-2.65314053653511	0	2920.61	464.3	YIL169C	Putative protein of unknown function; serine/threonine rich and highly similar to YOL155C, a putative glucan alpha-1,4-glucosidase; transcript is induced in both high and low pH environments; YIL169C is a non-essential gene 	IX	23119	26106	-1
YDL229W	-0.797521580385911	0	14007.05	8058.77	SSB1	Cytoplasmic ATPase that is a ribosome-associated molecular chaperone, functions with J-protein partner Zuo1p; may be involved in folding of newly-made polypeptide chains; member of the HSP70 family; interacts with phosphatase subunit Reg1p 	IV	44065	45906	1
YIL121W	-2.56416075209069	0	1441.15	243.68	QDR2	Multidrug transporter of the major facilitator superfamily, required for resistance to quinidine, barban, cisplatin, and bleomycin; may have a role in potassium uptake 	IX	132244	133872	1
YDL039C	-2.831572907483	0	2622.17	368.36	PRM7	Pheromone-regulated protein, predicted to have one transmembrane segment; promoter contains Gcn4p binding elements 	IV	381985	384081	-1
YOR383C	1.48875107079688	0	14340.54	40246.14	FIT3	Mannoprotein that is incorporated into the cell wall via a glycosylphosphatidylinositol (GPI) anchor, involved in the retention of siderophore-iron in the cell wall 	XV	1060441	1061055	-1
YLR157C-B	-2.17810871022124	0	3122.98	690.07	YLR157C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XII	476333	481601	-1
YOL103W-B	-2.23099999767306	0	2955.34	629.52	YOL103W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XV	118000	123268	1
YJR027W	-2.1271053636396	0	3012.1	689.52	YJR027W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	X	472760	478028	1
YER091C	1.22420651881204	0	3296.02	7700.39	MET6	Cobalamin-independent methionine synthase, involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs 	V	339864	342167	-1
YPR158C-D	-2.16451315401109	0	2949.51	657.91	YPR158C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XVI	850989	856257	-1
YBR092C	-2.47456329278735	0	2077.41	373.77	PHO3	Constitutively expressed acid phosphatase similar to Pho5p; brought to the cell surface by transport vesicles; hydrolyzes thiamin phosphates in the periplasmic space, increasing cellular thiamin uptake; expression is repressed by thiamin 	II	427698	429101	-1
YLR110C	0.194085632112737	0	79218.05	90625.36	CCW12	Cell wall mannoprotein with a role in maintenance of newly synthesized areas of cell wall; localizes to periphery of small buds, septum region of larger buds, and shmoo tip 	XII	369697	370098	-1
YDR261C-D	-2.32036755009704	0	2531.71	506.89	YDR261C-D	Retrotransposon TYA Gag and TYB Pol genes; in YDRCTY1-3 TYB is mutant and probably non-functional 	IV	987534	992349	-1
YPR149W	-1.89055206084241	0	4462.71	1203.61	NCE102	Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs) 	XVI	829918	830439	1
YOL109W	-2.3135788442602	0	5089.56	1023.82	ZEO1	Peripheral membrane protein of the plasma membrane that interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p; the authentic protein is detected in a phosphorylated state in highly purified mitochondria 	XV	110297	110638	1
YML039W	-2.20842658970912	0	2586.17	559.57	YML039W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	XIII	196628	201896	1
YPL019C	-2.21872271292938	0	3325.63	714.45	VTC3	Subunit of the vacuolar transporter chaperone (VTC) complex involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion 	XVI	514511	517018	-1
