gene_id	log2(fold_change)	q_value	p_value	significant	value_1	value_2
15S_rRNA	-0.147226	0.34399	0.29445	no	1.38529	1.25089
21S_rRNA	-0.247093	0.00325747	0.002	yes	4.06204	3.42264
HRA1	-1.35728	0.078812	0.0591	no	3.52945	1.3776
ICR1	0.074968	0.207454	0.1693	no	7.68989	8.10005
LSR1	-0.263161	9.44412e-05	5e-05	yes	24.0442	20.0351
NME1	0.0189985	0.884853	0.86375	no	20.3171	20.5864
PWR1	-inf	1	1	no	0.0137769	0
Q0010	0	1	1	no	0	0
Q0017	0	1	1	no	0	0
Q0032	0	1	1	no	0	0
Q0045	0.480264	1	1	no	0.262534	0.366235
Q0050	-0.0364773	1	1	no	0.481276	0.46926
Q0055	0.228645	1	1	no	0.285022	0.33397
Q0060	-0.0349748	1	1	no	0.0291095	0.0284123
Q0065	-0.569982	1	1	no	0.048939	0.0329666
Q0070	0.092212	1	1	no	0.00699228	0.00745379
Q0075	-1.35155	1	1	no	0.020774	0.00814076
Q0080	0	1	1	no	0	0
Q0085	0.417518	1	1	no	0.102324	0.136666
Q0092	0	1	1	no	0	0
Q0105	0.181036	1	1	no	0.237575	0.269338
Q0110	-0.0178376	1	1	no	0.0136012	0.0134341
Q0115	0.905498	1	1	no	1.40489e-07	2.63162e-07
Q0120	1.57096	1	1	no	0.0136779	0.0406374
Q0130	0.414863	0.101429	0.07775	no	7.43191	9.90801
Q0140	0	1	1	no	0	0
Q0142	0	1	1	no	0	0
Q0143	0	1	1	no	0	0
Q0144	0	1	1	no	0	0
Q0160	-0.216689	1	1	no	0.306812	0.264024
Q0182	0	1	1	no	0	0
Q0250	0.0508697	1	1	no	0.309674	0.320788
Q0255	1.90441	1	1	no	0.00222954	0.0083464
Q0275	-0.25569	1	1	no	0.318958	0.267155
Q0297	inf	1	1	no	0	0.212283
RDN18-1	0	1	1	no	0	0
RDN18-2	0	1	1	no	0	0
RDN25-1	0	1	1	no	0	0
RDN25-2	0	1	1	no	0	0
RDN37-1	0	1	1	no	0	0
RDN37-2	0	1	1	no	0	0
RDN5-1	0.00261843	0.979244	0.9764	no	1972.18	1975.77
RDN5-2	-0.0487544	0.80912	0.7777	no	932.761	901.766
RDN5-3	0.027309	0.880985	0.8593	no	1000.46	1019.57
RDN5-4	-0.261848	0.268278	0.2239	no	660.623	550.972
RDN5-5	-0.100628	0.545729	0.49325	no	1778.52	1658.7
RDN5-6	0.00597423	0.959763	0.9536	no	1171.98	1176.85
RDN58-1	0	1	1	no	0	0
RDN58-2	0	1	1	no	0	0
RNA170	0.516052	0.00160195	0.00095	yes	57.5917	82.3583
RPM1	0	1	1	no	0	0
RPR1	-1.32151	9.44412e-05	5e-05	yes	45.3709	18.1536
RUF20	0.00519478	0.955	0.9477	no	26.9961	27.0934
RUF21	0.2421	0.204406	0.1665	no	1.57902	1.86753
RUF22	-0.577203	1	1	no	0.0392856	0.0263316
RUF23	0.47954	0.0197503	0.0135	yes	7.3365	10.2293
RUF5-1	-0.478155	9.44412e-05	5e-05	yes	334.573	240.189
RUF5-2	-0.486393	9.44412e-05	5e-05	yes	208.637	148.927
SCR1	-0.300827	0.00018467	0.0001	yes	183.323	148.819
SRG1	-0.447472	0.107244	0.0827	no	96.9454	71.0926
TLC1	0.211773	9.44412e-05	5e-05	yes	144.752	167.638
YAL001C	0.366621	9.44412e-05	5e-05	yes	16.4689	21.2338
YAL002W	-0.136406	0.00379352	0.00235	yes	15.5823	14.1765
YAL003W	-0.868146	9.44412e-05	5e-05	yes	2873.85	1574.44
YAL004W	0	1	1	no	0	0
YAL005C	-0.846536	9.44412e-05	5e-05	yes	1123.25	624.657
YAL007C	0.259262	9.44412e-05	5e-05	yes	230.637	276.042
YAL008W	0.190593	9.44412e-05	5e-05	yes	107.88	123.116
YAL009W	0.245104	9.44412e-05	5e-05	yes	58.664	69.5273
YAL010C	0.095106	0.053562	0.03915	no	27.5838	29.4634
YAL011W	0.325705	9.44412e-05	5e-05	yes	24.8144	31.0993
YAL012W	0.271062	9.44412e-05	5e-05	yes	584.59	705.422
YAL013W	0.32344	9.44412e-05	5e-05	yes	122.895	153.779
YAL014C	0.250245	9.44412e-05	5e-05	yes	198.831	236.492
YAL015C	0.494585	9.44412e-05	5e-05	yes	46.4004	65.3742
YAL016C-A	-0.853969	0.00018467	0.0001	yes	131.292	72.6388
YAL016C-B	0.782825	9.44412e-05	5e-05	yes	168.429	289.781
YAL016W	-0.0460259	0.34399	0.29445	no	117.175	113.496
YAL017W	0.0245825	0.604484	0.55495	no	33.6926	34.2716
YAL018C	-0.152449	1	1	no	0.344264	0.309742
YAL019W	-0.539867	9.44412e-05	5e-05	yes	26.5107	18.235
YAL019W-A	-0.35331	0.501972	0.44925	no	4.66125	3.64876
YAL020C	0.106934	0.0228949	0.0158	yes	120.118	129.36
YAL021C	-0.306758	9.44412e-05	5e-05	yes	58.6945	47.452
YAL022C	0.120214	0.00819558	0.0053	yes	87.3596	94.9508
YAL023C	-0.0760012	0.111602	0.08635	no	203.301	192.868
YAL024C	0.201261	9.44412e-05	5e-05	yes	6.39666	7.35426
YAL025C	-1.19602	9.44412e-05	5e-05	yes	143.892	62.8057
YAL026C	0.00837743	0.893722	0.8735	no	29.9868	30.1614
YAL026C-A	0.74075	9.44412e-05	5e-05	yes	56.8152	94.9407
YAL027W	-0.0300513	0.811907	0.781	no	49.0413	48.0303
YAL028W	0.202021	9.44412e-05	5e-05	yes	34.6482	39.8561
YAL029C	-0.040703	0.386393	0.335	no	33.4147	32.4852
YAL030W	0.335659	9.44412e-05	5e-05	yes	397.276	501.344
YAL031C	0.269886	9.44412e-05	5e-05	yes	28.4453	34.2969
YAL031W-A	0.823503	9.44412e-05	5e-05	yes	61.0045	107.959
YAL032C	0.297333	9.44412e-05	5e-05	yes	63.3546	77.8546
YAL033W	-0.235469	9.44412e-05	5e-05	yes	92.1335	78.259
YAL034C	0.0735249	0.118371	0.09195	no	59.0792	62.1681
YAL034C-B	0.0473079	0.844961	0.81835	no	11.194	11.5671
YAL034W-A	0.346098	9.44412e-05	5e-05	yes	21.4043	27.2074
YAL035W	-0.402365	9.44412e-05	5e-05	yes	195.109	147.623
YAL036C	-0.661405	9.44412e-05	5e-05	yes	78.6863	49.7504
YAL037C-A	-0.208591	0.435726	0.3833	no	277.035	239.741
YAL037C-B	0	1	1	no	0	0
YAL037W	0.523875	9.44412e-05	5e-05	yes	9.29916	13.3704
YAL038W	0	1	1	no	0	0
YAL039C	0.0423702	0.377926	0.3268	no	341.2	351.369
YAL040C	-0.0893337	0.0536876	0.03925	no	58.4095	54.9024
YAL041W	-0.0368173	0.441855	0.3893	no	32.2755	31.4623
YAL042C-A	-0.944161	0.00018467	0.0001	yes	373.835	194.294
YAL042W	0.0591401	0.28863	0.24265	no	482.029	502.199
YAL043C	0.0307931	0.531283	0.47865	no	44.9567	45.9266
YAL044C	-1.10528	9.44412e-05	5e-05	yes	556.154	258.507
YAL044W-A	0.400791	9.44412e-05	5e-05	yes	217.04	286.543
YAL045C	0.269235	0.0970756	0.07425	no	70.4065	84.8516
YAL046C	0.0232319	0.669173	0.62375	no	201.61	204.883
YAL047C	0.140665	0.0121325	0.00805	yes	13.0361	14.3712
YAL047W-A	0.312493	0.494666	0.44135	no	3.71091	4.60841
YAL048C	-0.401671	9.44412e-05	5e-05	yes	11.4953	8.70173
YAL049C	0.315026	9.44412e-05	5e-05	yes	131.177	163.188
YAL051W	0.065193	0.172302	0.1384	no	18.6768	19.5401
YAL053W	0.395868	9.44412e-05	5e-05	yes	179.811	236.584
YAL054C	0.591531	9.44412e-05	5e-05	yes	16.4401	24.7727
YAL055W	0.288654	9.44412e-05	5e-05	yes	120.047	146.638
YAL056C-A	0.295859	0.0324085	0.02295	yes	44.1144	54.1555
YAL056W	0.295225	9.44412e-05	5e-05	yes	53.5379	65.6951
YAL058W	-0.120837	0.0281755	0.01975	yes	28.5834	26.2868
YAL059C-A	-inf	1	1	no	0.323393	0
YAL059W	-0.874042	9.44412e-05	5e-05	yes	68.0713	37.1408
YAL060W	-0.440102	9.44412e-05	5e-05	yes	208.409	153.615
YAL061W	-2.23271	9.44412e-05	5e-05	yes	247.344	52.6244
YAL062W	0.183447	9.44412e-05	5e-05	yes	45.8478	52.0644
YAL063C	-0.0133413	0.806435	0.77475	no	10.2111	10.1172
YAL063C-A	1.20885	9.44412e-05	5e-05	yes	2.93046	6.77385
YAL064C-A	-0.252586	0.0152876	0.0103	yes	25.0502	21.0269
YAL064W	1.647	9.44412e-05	5e-05	yes	3.45557	10.8222
YAL064W-B	-0.48794	0.000360088	0.0002	yes	12.1017	8.629
YAL065C	0.155137	0.156708	0.1247	no	18.6607	20.7792
YAL066W	0.870767	1	1	no	0.164378	0.300588
YAL067C	1.23109	9.44412e-05	5e-05	yes	1.60915	3.77738
YAL067W-A	0.0391966	1	1	no	1.59098	1.6348
YAL068C	0.0944845	0.570814	0.51985	no	6.6197	7.06775
YAL068W-A	0.39961	1	1	no	0.0806869	0.106438
YAL069W	1.80388	1	1	no	0.111056	0.387761
YAR002C-A	0.241293	9.44412e-05	5e-05	yes	355.014	419.644
YAR002W	-0.165178	0.000273377	0.00015	yes	61.3732	54.7338
YAR003W	0.130804	0.00470174	0.00295	yes	49.0251	53.6778
YAR007C	0.505568	9.44412e-05	5e-05	yes	39.3974	55.9318
YAR008W	0.609463	9.44412e-05	5e-05	yes	34.7833	53.0686
