ORF	NAME	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YCR002C	CDC10  CYTOKINESIS      GTP BINDING PROTEIN	0.14	-0.12	0.25	-0.12	0.16	-0.3	0.42	0.51	0.42	0.03	0.32	-0.17	-0.01	-0.03	0.39	0.08	0.41	-0.01	-0.47	-0.62	-0.58	-0.32	-0.07	-0.29	-0.04	-0.18	-0.29	-0.43	-0.04	-0.22	-0.51	-0.64	-0.58	-0.76	-0.23	0.08	0.31	0.11	-0.07	-0.17	-0.1	0.1	0.31	-1.09	-0.03	-0.2	-0.3	0.04	0.59	2.19	3.51	3.09	3.26	-1.84	1.53	0.76	1.13		-0.07	-0.07	-0.15	-0.76	-0.18	-0.17	0.28	-0.25	-0.17	-0.79	0.08	0.29	-0.34	-0.69	0.26	0.29	0.18	-0.18	-0.1	0.39	-0.62
YKL022C	CDC16  CELL CYCLE       ANAPHASE-PROMOTING COMPLEX SUBUNIT	-0.14	-0.14	-0.12	0.11	0.33		-0.12	0.04	0.23	-0.12	0.74	-0.01	-0.12	0.18	0.37	0.43	-0.15	-0.25	-0.04	-0.4	-0.29	-0.34	-0.27	-0.4	-0.36	-0.09	-0.17	-0.15	-0.27	-0.14	-0.09	-0.29	0.23	-0.04	-0.07	-1.89	-0.62	-0.22	-0.14	-0.07	-0.12	-0.27	-0.17	0.24	-0.27	-0.3	-0.29	-0.09	0.04	1.13	2.09	2.14	2.57	-1.29	1.23	1.23	0.32	0.55	-0.04	0.04	-0.14	0.32	-0.04	-0.2	-0.1	-0.51	-0.3	-0.15	-0.32	-0.23	-0.43	-0.09	0.18	0.12	0.2	-0.12	-0.2	-0.29	0.06
YFR036W	CDC26  CELL CYCLE       ANAPHASE-PROMOTING COMPLEX SUBUNIT	0.11	-0.27	-0.1	-0.22	0.07	-0.2	0.12	-0.04	-0.04	-0.22	-0.38	-0.27	0.03	-0.2	-0.23	-0.32	-0.14	-0.51	-0.14	-0.15	-0.22	-0.51	-0.3	-0.71	-0.38	-0.4	-0.23	-0.38	-0.17	-0.32	-0.29	-0.38	0.41	0.34	0.14	-0.49	-0.56	-0.22	0.06	-0.22	-1.06	-0.3	-0.17	0.31	-0.17	-0.04	0.04	-0.81	-0.1	1.41	2.09	2.23	0.99	-2.12	1.16	0.01	0.07	0.1	-0.14	-0.49	-0.01	-0.32		-0.01	-0.25	-0.62	-0.54	-0.43	-0.04	0.2	-0.06	-0.22	-0.23	-0.4	-0.17	-0.4	-0.36	-0.25	-0.29
YBL084C	CDC27  CELL CYCLE       ANAPHASE-PROMOTING COMPLEX SUBUNIT	0.16	0.32	0.59	0.33	0.16	0.25	0.19	0.24	-0.01	0.1	0.18	-0.1	0.49	-0.3	0.69	0.53	0.06	0.23	0.04	-0.84	-0.09	-0.01	-0.67	-0.12	-0.6	-0.76	-0.32	-0.43	-0.56	-0.36	-1.18	-0.67	0.14	0.1	-0.67	-0.54	-0.22	-0.12	-0.07	0.52	0.23	-0.34	-0.17	-0.32	-0.54	-0.34	-0.38	-0.1	-0.2	0.73	2.93	3.11	3.07	-1.22	2.13	2.12	0.68	0.54	-0.36	0.48	0.06	0.18	-0.06	1.26	-0.67	-0.4	-0.64	-0.76	-0.23	0.01	0.08		-0.14	-0.29	-0.67	-0.86	-0.62	-0.18	0.24
YPL256C	CLN2   CELL CYCLE       G1/S CYCLIN	-1.69	-0.97	1.11	1.69	0.45	-0.07	-0.64	-1.6	-1.79	-1.36	0.07	1.29	0.82	0.28	-0.1	-0.6	-0.67	-1.32	-1.89	-1.89	0.06	-0.12	0.29	0.57	0.45	0.49	0.15	0.49	0.29	-0.42	-0.67	0.57	-1.12	1.74	1.68	0.45	-0.74	-1.74	0.75	1.86	1.32	-0.12	-0.89	-0.71	0.28	0.28	0.14	-0.54	-0.14	-0.18	-0.1	-0.17	-0.45	0.15	-0.3	-0.43	-0.58	0.38	-0.49	-1.18	-1.36	-0.12	-0.29	-0.04	-0.01	-0.94	0.12	0.49	-0.03	-0.09	-0.76	-0.54	-0.01	-0.1	-0.45	-0.81	-1.09	-0.51	-2.12
YOL007C	CSI2   CELL WALL BIOGENESIS     CHITIN SYNTHASE 3 SUBUNIT	-1.43	-1.25	0.83	0.73	0.77	-0.47	-0.32	-1.18	-1.47	-0.71	-0.32	0.58	0.78	0.39	-0.27	-0.4	-0.84	-1.03	-2.25	-1.69	-0.15	-0.09	0.11	0.16	0.29	0.42	-0.07	0.58	0.03	-0.38	-1.36	-0.27	-1.64	1.42	1.75	0.44	-0.97	-1.69	0.48	1.81	1.2	-0.17	-1.09	-1	0.04	0.14	-0.22	-0.25	0.53	-0.4	-0.1	-0.09	-0.29	0.44	-0.29	-0.04	-0.22	0.41	-0.54	-1.43	-0.43	-0.54	-0.58	-0.64	0.14	-0.3	0.74	0.96	-0.86	-0.23	-1	-0.84	0.11	0.28	-0.49	-0.56	-0.6	-1.09	-1.18
YIR027C	DAL1   ALLANTOIN UTILIZATION    ALLANTOINASE	0.06	0.29	0.14	-0.18	-0.04	-0.17	0.19	0.1	0.11	0.21	-0.15	-0.03	-0.1	-0.27	-0.12	-0.01	-0.03	-0.22	-0.27	-0.67	-0.43	-0.34	-0.3	-0.34	-0.34	-0.42	-0.45	-0.76	-0.34	-0.47	-1.15	-0.51	0.3	0.14	0.12	0.07	0.52	0.42	0.19	0.25	0.29	0.01	0.06	-0.06	-0.36	-0.47	-0.17	-0.4	1.67	-0.74	0.58	-0.17	-0.6	2.2	-0.09	-0.3	1.22	-0.43	0.23	0.6	0.18	0.49	1.1	0.54	-0.67	-0.42	-0.92	-0.51	0.25	0.92	0.21	0.25	-0.76	-0.36	-0.2	-0.6	-0.67	0.31	0.08
YIR029W	DAL2   ALLANTOIN UTILIZATION    ALLANTOICASE	-0.1	-0.04	-0.1	-0.6	0.06	-0.12	-0.15	-0.17	-0.27	0.23	-0.32	0.04	-0.17	-0.51	-0.1	-0.15	-0.49	-0.3	-0.1	-0.45	0.06	-0.38	-0.18	-0.07	-0.25	-0.22	-0.36	-0.14	-0.36	-0.25	-0.76	0.18	-1.43	-0.01	0.34	0.49	0.34	0.32	0.01	0.29	0.19	0.37	0.23	-0.32	0.11	-0.04	0.24	-0.38	2.68	0.4	0.79	0.36	-0.1	2.89	-0.23	-0.29	1.73	-0.49	0.12	0.3	0.26	-0.03	0.34	0.71	-0.71	-0.34	-0.56	-0.56	-0.07	0.7	0.58	0.31	-1.03	0.08	-0.29	-0.64	-0.51	0.33	0.11
YIR032C	DAL3   PURINE METABOLISM     UREIDOGLYCOLATE HYDROLASE	0.01	-0.14	-0.25	-0.76	-0.81	-0.56	-0.64	-0.14	-0.56	-0.09	-0.03		-0.12	-0.17	-0.18	-0.1	-0.81	-0.49	-0.79	-0.67	-0.36	-0.4	-0.15	-0.43	-0.47	-0.01	-0.27	-0.4	-0.47	-0.12	-0.45	-0.14	-0.58	-0.42	-0.64	-0.1	0.32	0.31	0.11	0.15	0.71	0.41	0.33	0.48	0.38	0.61	0.53	-0.49	1.51	-0.15	-0.12	-0.42	-0.54	2.2	-0.4	-0.45	1.91	-0.54	-0.1	0.34	-0.51	0.11	0.07	0.69	-0.45	-0.54	-1	-0.43	-0.2	0.61	0.41	0.37	0.03	-0.17	0.25	0.03	-0.07	0.77	0.28
YIR028W	DAL4   ALLANTOIN UTILIZATION    ALLANTOIN PERMEASE	-0.07	-0.18	0.11	-0.29	0.08	-0.23	-0.01	-0.06	-0.25	-0.45	-0.36	-0.34	-0.03	-0.3	-0.47	-0.43	-0.17	-0.3	-0.07	-0.43	-0.34	-0.22	-0.36	-0.51	-0.45	-0.27	-0.36	-0.6	-0.43	-0.49	-0.67	-0.42	0.2	0.18	0.52	0.01	-0.01	0.04	-0.01	-0.29	-0.06	-0.15	-0.29	-0.17	-0.22	-0.25	-0.22	-0.54	1.69	-0.01	1.47	1.14	0.87	1.83	0.99	0.41	3.11	0.53	-0.04	0.1	0.03	0.81	0.48	0.38	-0.62	-0.62	-0.43	-0.6	-0.09	0.86	0.51	0.29	-0.12	-0.17	0.18	-0.3	-0.4	0.55	0.39
YJR152W	DAL5   ALLANTOIN UTILIZATION    ALLANTOATE PERMEASE	-0.38	0.39	-0.23	-0.14	-0.04	-0.15	-0.38	-0.12		0.34	-0.06	-0.18	0.24	-0.25	0.1	0.11	-0.25	-0.18	-0.49	-0.49	-0.04	-0.22	-0.3	-0.51	-0.36	0.03	-0.23	-0.23	-0.12	-0.09	-1.43			-0.3	-0.17	-0.36	-0.34	-0.4	-0.12	0.29	1.18	0.07	0.03	0.4	0.06	-0.03	0.11	-0.09	3.33	0.23	1.16	0.86	1.34	3.53	0.43	0.21	3.49	-0.36	0.78	-0.25	0.25	0.41	-0.17	0.9	-0.4	-0.38	-0.1	-0.84	-0.06	0.36	0.26	-0.25	-0.15	-0.18		-0.29	-0.36	0.5	0.15
YDR263C	DIN7   DNA REPAIR (PUTATIVE)    DNA DAMAGE-INDUCIBLE	0.03	-0.2	0.23	0.11	0.1	-0.1	0.3	0.06	0.06	-0.15	0.42	0.25	0.16	-0.04	0.32	-0.04	0.23	0.2	-0.67	-0.14	-0.58	-0.43	-0.15	-0.32	-0.42	-0.45	-0.36	-0.49	-0.47	-0.17	-0.43	-0.43	-0.38	-0.12	0.19	0.03	-0.14	-0.15	-0.43	-0.06	-0.2	-0.42	-0.45	0.01	-0.12	-0.34	-0.36	-0.79	0.89	2	3.13	3.48	2.49	-1.06	1.5	1.3	2.17	1.42	-0.12	-0.36	-0.27	0.53	-0.06	0.59	-0.12	0.07	-0.25	-0.62	0.2	0.77	0.11	-0.32	-0.38	-0.32	-0.14	-0.1	-0.22	0.18	0.08
YDL101C	DUN1   DNA REPAIR       DNA DAMAGE-RESPONSIVE PROTEIN KINASE	-0.86	-0.15	0.7	1.07	0.2	0.15	-0.38		0.19	-0.47	0.04	0.48	0.32	-0.27		0.21	-0.6	-0.22	-1.51	-0.94	-0.62	-0.54	-0.2	0.32	0.54	0.29	-0.07	0.08	0.01	0.07	-0.54	-0.38	-0.51	0.04	0.74	-0.4	-0.81	-1.09	-0.32	0.68	0.33	-0.27	-0.74	-0.38	-0.1	-0.38	-0.1	-0.22	1.1	0.78	0.25	-0.36	-0.81	0.34	-0.67	-0.81	1.94	1.21	-0.17	-0.18	-0.07	-0.17	-0.25	-0.38	-0.22	0.14		-0.27	-0.29	0.41	-0.06	-0.67	-0.14	1.02	-0.12	-0.17	-0.32	-0.36	-0.36
YBR009C	HHF1   CHROMATIN STRUCTURE    HISTONE H4	-2.84	-3.18	-1.94	-0.64	1.04	1.17	0.2	0.48	-0.79	-0.81	-1.22	-0.49	0.5	0.53	0.88	0.19	-0.4	-0.74	-2.12	-2.25	-1.94	-1.43	-0.47	-0.15	0.6	0.64	0.46	0.07	-0.27	0.08	-0.49	-1.25	-0.34	-0.84	1.71	1.5	-0.1	-1.32	-0.81	1.38	2	1.29	0.23	-0.3	0.03	0.48	1.21	0.11	0.55	0.53	0.25	-0.15	-0.76	0.12	0.04	-1.06	1.61	-0.1	-0.25	-0.92	-1.69	-2.25	-0.86	-0.94	0.32	0.4	-0.2	-0.56	-0.04	-0.22	-0.76	-1.56	0.06	-0.01	0.2	-0.14	0.34	-0.29	-0.51
YNL030W	HHF2   CHROMATIN STRUCTURE    HISTONE H4	-2.84	-2.56	-2.32	-0.32	0.68	0.82	0.37	-0.36	-0.74	-1.56	-1.32	-0.67	0.56	0.38	0.82	-0.03	-0.47	-0.92	-1.51	-1.47	-1.56	-0.86	-0.17	0.63	0.98	1.14	0.84	0.56	0.57	0.52	-0.1	-0.89	-1.12	-0.86	1.7	1.58	-0.27	-1.32	-0.89	1.2	1.99	0.67	0.16	-0.71	-0.15	0.36	1.01	-0.01	0.29	0.38	0.31	-0.29	-0.97	0.15	0.08	-1	1.51	-0.06	-0.45	-0.97	-2	-2.25	-1.03	-0.97	0.36	0.42	-0.12	-0.6	-0.32	-0.45	-0.86	-1.79		-0.06	0.24	0.08	0.04	0.14	-0.64
YBR010W	HHT1   CHROMATIN STRUCTURE    HISTONE H3	-2.12	-2.25	-1.64	-0.3	1.2	0.6	0.38	0.71	-0.71	-1.09	-1.43	-0.4	0.65	1.01	0.93	0.26	0.04	-0.51	-0.36	-1.32	-1.18	-0.43	0.1	1.12	1.07	1.08	1.04	0.78	0.25	0.8	0.06	-0.2	-0.79	-0.81	1.81	1.56	-0.01	-0.94	-0.81	1.12	1.82	1.13	0.23	-0.71	-0.14	0.16	0.69	0.18	0.46	0.32	0.25	-0.45	-0.49	0.5		-1.12	1.44	-0.36	-0.27	-0.49	-1.18	-2.06	-0.64	-0.97	0.4	0.03		-0.36	-0.23	-0.14	-0.3	-0.69	0.46	0.37	0.49	0.1	0.34	1.01	-0.09
YNL031C	HHT2   CHROMATIN STRUCTURE    HISTONE H3	-2.25	-1.89	-2	-0.43	0.4	0.82	0.19	-0.6	-0.79	-1.25	-1.47	-0.54	0.36	0.58	0.53	-0.25	-0.3	-0.81	-0.4	-1.03	-0.17	-0.27	0.28	0.81	1.02	1.3	0.8	0.48	0.52	0.32	0.16	-0.32	-0.81	-0.92	1.37	1.52	0.08	-1.03	-0.71	0.95	1.69	1.06	0.18	-0.84	-0.4	0.1	0.67	-0.32	0.19	-0.01	-0.09	-0.32	-0.81	0.24	0.04	-1.03	1.27	-0.34	-0.34	-0.62	-1.06	-2.32	-0.84	-0.04	0.33	0.04	-0.22	-0.69	-0.62	-0.23	-0.84	-1.09	0.12	-0.06	0.03	-0.01	0.07	0.82	-0.25
YMR186W	HSC82  PROTEIN FOLDING     CHAPERONIN	0.18	-0.4	0.01	0.23	0.03	0.18	0.42	0.28	0.24	-0.12	0.08	-0.14	-0.07	-0.47	-0.14	-0.12	-0.32	-0.15	1.03	0.37	0.29	0.29	-0.42	-0.58	-0.45	-0.54	-0.12	-0.23	-0.06		0.37	-0.34	-1.6	-2.64	-2.84	-2.74	-2.56	-2.4	-2.25	-2.18	-2	-0.84	-0.6	-0.09	0.23	-0.17	-0.09	0.32	-0.06	1.21	0.68	-0.3	-0.54	-1.06		-1.29	1.18	2.44	0.14	1.45	1.62	0.81	0.77	1.43	-0.15	0.2	0.77		-0.01	-0.2	0.06	-0.12	0.11	0.04	-0.25	-0.12	0.19	0.62	1.1
YPL240C	HSP82  PROTEIN FOLDING     HSP90 HOMOLOG	-0.03	-0.32	0.5	0.34	0.42	0.08	0.5	0.2	0.26	-0.03	-0.25	-0.18	-0.12	-0.38	-0.04	-0.27	-0.14	-0.22	1.34	0.06	-0.15	0.1	-0.32	-0.56	-1.15	-0.43	-0.15	-0.32	-0.12	-0.07	0.39	-0.27	-1.69	-2.47	-2.74	-0.06	-0.89	-0.84	-1.79	-2.18	-1.6	-0.89	-0.3	-0.51	0.45	0.11	0.07	0.03	-0.45	0.81	0.44	-0.54	-0.71	-1.43	-0.23	-1.6	0.99	2.49	0.03	2.28	1.86	0.78	1.22	0.29	0.04	0.38	1.01	0.56	-0.3	0.03	0.03	-0.12	0.04	-0.06	-0.42	-0.09	0.3	1.04	0.76
YDR225W	HTA1   CHROMATIN STRUCTURE    HISTONE H2A	-2	-2.84	-1.94	-0.81	0.86	0.64	0.58	-0.45	-0.71	-1.36	-1.43	-1	0.44	0.61	0.93	0.04	-0.36	-0.89	-1.22	-1.32	-1.29	-1.15	-0.47	0.33	0.76	0.59	0.62	0.23	0.3	0.52	-0.32	-1.03	-1.25	-0.89	1.62	1.8	0.11	-1.47	-0.76	1.3	1.86	1.29	0.2	-1	-0.67	-0.17	0.45	-0.25	0.15	-0.1	-0.38	-1	-1.56	0.29	-0.29	-1.56	0.77	-1	-0.34	-0.84	-2.18	-2.74	-0.86	-1.18	0.19	-0.09	-0.38	-1.06	0.24	-0.38	-0.67	-1.47	0.26	0.48	0.62	0.31	0.46	0.03	-0.67
