#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/ebseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//ebseq/ebseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//ebseq/ebseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//ebseq/ebseq_package_default.db
# Output created at: 15:34:23
GeneID	log2foldchange	significance	Snf2	WT	GeneName	Description	Chromosome	Start	End	Strand
15S_rRNA	-0.17	0.813	16.27	18.34	15S_RRNA	Ribosomal RNA of the small mitochondrial ribosomal subunit; MSU1 allele suppresses ochre stop mutations in mitochondrial protein-coding genes 	Mito	6546	8194	1
21S_rRNA	-0.27	0.908	94.72	114.18	21S_RRNA	Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease 	Mito	58009	62447	1
HRA1	-0.83	0.0178	1.84	3.28	HRA1	Non-protein-coding RNA, substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA 	I	99305	99868	1
ICR1	0.23	2.96e-09	155.05	132.25	ICR1	Long intergenic ncRNA, has a key role in regulating transcription of the nearby protein-coding ORF MUC1; initiated far upstream from MUC1 and transcribed across much of the large promoter of MUC1, repressing MUC1 transcription in cis 	IX	393884	397082	-1
LSR1	-0.23	0.923	183.45	215.71	LSR1	U2 spliceosomal RNA (U2 snRNA), component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing 	II	680688	681862	-1
NME1	0.02	0.846	26.6	26.29	NME1	RNA component of RNase MRP, which cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; human ortholog is implicated in cartilage-hair hypoplasia (CHH) 	XIV	585587	585926	1
Q0045	0.67	0.318	2.17	1.36	COX1	Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	13818	26701	1
Q0050	-0.04	0.763	9.35	9.65	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene 	Mito	13818	16322	1
Q0055	0.22	0.605	6.92	5.92	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene 	Mito	13818	18830	1
Q0060	-0.28	0.885	0.23	0.28	AI3	Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene 	Mito	13818	19996	1
Q0065	-0.86	0.992	0.18	0.33	AI4	Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity 	Mito	13818	21935	1
Q0070	0.31	0.974	0.04	0.03	AI5_ALPHA	Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene 	Mito	13818	23167	1
Q0075	-1.47	0.745	0.06	0.19	AI5_BETA	Protein of unknown function, encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG 	Mito	24156	25255	1
Q0085	0.29	0.772	0.69	0.56	ATP6	Mitochondrially encoded subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase 	Mito	28487	29266	1
Q0105	0.42	0.73	0.79	0.59	COB	Cytochrome b, mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p 	Mito	36540	43647	1
Q0110	-0.03	1	0.08	0.08	BI2	Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA 	Mito	36540	38579	1
Q0120	1.4	0.971	0.38	0.14	BI4	Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA 	Mito	36540	42251	1
Q0130	0.4	0.471	4.17	3.16	OLI1	F0-ATP synthase subunit c (ATPase-associated proteolipid), encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2 	Mito	46723	46953	1
Q0160	-0.31	0.746	1.21	1.51	SCEI	I-SceI DNA endonuclease, encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene 	Mito	61022	61729	1
Q0250	0.02	0.689	1.58	1.55	COX2	Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	73758	74513	1
Q0255	2.04	0.881	0.13	0.02	Q0255	Maturase-like protein 	Mito	74495	75984	1
Q0275	-0.29	0.719	1.48	1.81	COX3	Subunit III of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	79213	80022	1
RDN5-1	-0.07	0.915	88.12	92.52	RDN5-1	5S ribosomal RNA (5S rRNA); only complete sequence of 6 repeated RDN5 alleles; able to support viability when provided as sole form of 5S rRNA; component of the large (60S) ribosomal subunit; localized to the nucleolus via interaction with Rpl5p; ma /.../ a role in translational frame fidelity; transcription is mediated by PolIII and activated by TFIIIA and TFIIIE 	XII	459676	459796	1
RDN5-2	-0.38	0.613	3.73	4.86	RDN5-2	Variant 5S ribosomal rRNA (5S rRNA) gene; located within the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-3, RDN5-4, and RDN5-5 	XII	468813	468931	1
RDN5-6	0.03	0.846	45.18	44.31	RDN5-6	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus 	XII	489349	489469	1
RNA170	0.49	1.5e-06	18.33	13.01	RNA170	RNA polymerase III transcribed RNA of unknown function, conserved in other yeast species 	XIII	667288	667456	-1
RPR1	-1.32	3.45e-08	32.39	80.73	RPR1	RNA component of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; may be responsible for recognition of substrate tRNAs 	V	117667	118035	-1
RUF20	0.18	0.553	136.92	120.92	RUF20	RNA of Unknown Function 	VI	131061	131503	-1
RUF21	0.28	0.755	43.85	36	RUF21	RNA of Unknown Function 	VI	57815	58521	-1
RUF22	-0.72	1	0.12	0.21	RUF22	RNA of Unknown Function; precise location of 3' end uncertain; RUF22 may be longer than currently annotated 	VI	199299	199813	-1
RUF23	0.38	1	8.92	6.87	RUF23	RNA of Unknown Function; precise location of 3' end uncertain; RUF23 may be longer than currently annotated 	VI	221714	221967	1
RUF5-1	-0.18	0.643	302.63	343.68	RUF5-1	RNA of Unknown Function 	VIII	212409	213118	1
RUF5-2	-0.19	0.603	197.05	224.48	RUF5-2	RNA of Unknown Function 	VIII	214407	215116	1
SCR1	-0.33	0.963	425.23	534.11	SCR1	RNA subunit of the Signal Recognition Particle (SRP) 	V	441987	442508	1
SRG1	-1.22	0	119.44	278.88	SRG1	Non-protein-coding RNA that regulates the transcription of SER3; expression of SRG1 RNA represses expression of its neighboring gene SER3 via a transcription-interference mechanism 	V	322212	322762	1
TLC1	0.2	0.000193	1647.38	1430.61	TLC1	TLC1 RNA contains a template sequence that Est2p uses to add irregular repeats of TG(1-3) residues onto a DNA end; RNA template component of telomerase 	II	307587	308887	1
YAL001C	0.37	0	637.11	493.76	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding 	I	147594	151166	-1
YAL002W	-0.14	0.00888	466.56	515.01	VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif 	I	143707	147531	1
YAL003W	-0.87	0	6205.68	11336.94	EFB1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site 	I	142174	143160	1
YAL005C	-0.74	0	8936.43	14971.33	SSA1	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identi /.../th Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes 	I	139503	141431	-1
YAL007C	0.25	0	1215.54	1022.44	ERP2	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles 	I	137698	138345	-1
YAL008W	0.21	3.28e-05	491.88	426.44	FUN14	Mitochondrial protein of unknown function 	I	136914	137510	1
YAL009W	0.25	0	391.92	329.62	SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation 	I	135854	136633	1
YAL010C	0.09	0.232	354.56	333.71	MDM10	Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins 	I	134184	135665	-1
