#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/samseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//samseq/samseq_package_default.db
# Output created at: 07:24:50
GeneID	log2foldchange	significance	Score	GeneName	Description	Chromosome	Start	End	Strand
15S_rRNA	0.267895879361194	0.0258111837327524	152.4	15S_RRNA	Ribosomal RNA of the small mitochondrial ribosomal subunit; MSU1 allele suppresses ochre stop mutations in mitochondrial protein-coding genes 	Mito	6546	8194	1
21S_rRNA	0.539457759247953	0.00431808278867096	215.15	21S_RRNA	Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease 	Mito	58009	62447	1
HRA1	0.415650543716726	0.00227886710239646	242.3	HRA1	Non-protein-coding RNA, substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA 	I	99305	99868	1
ICR1	-0.111057540142371	0.0516267247639796	-128.95	ICR1	Long intergenic ncRNA, has a key role in regulating transcription of the nearby protein-coding ORF MUC1; initiated far upstream from MUC1 and transcribed across much of the large promoter of MUC1, repressing MUC1 transcription in cis 	IX	393884	397082	-1
LSR1	0.220752514595673	0.00727233115468405	195.4	LSR1	U2 spliceosomal RNA (U2 snRNA), component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing 	II	680688	681862	-1
NME1	0.0102359669323926	0.6290290486565	28.5	NME1	RNA component of RNase MRP, which cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; human ortholog is implicated in cartilage-hair hypoplasia (CHH) 	XIV	585587	585926	1
Q0045	-0.317273439125752	0.214736383442266	-76.6	COX1	Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	13818	26701	1
Q0050	0.320153121727552	0.133175744371823	94.9	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene 	Mito	13818	16322	1
Q0055	0.00526651222678448	0.793732026143791	15.35	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene 	Mito	13818	18830	1
Q0060	0.00048354019173225	0.30641975308642	62.1	AI3	Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene 	Mito	13818	19996	1
Q0065	-0.000448920469470382	0.120071895424837	98.8	AI4	Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity 	Mito	13818	21935	1
Q0070	0.000540519475309739	0.5629709513435	34.25	AI5_ALPHA	Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene 	Mito	13818	23167	1
Q0075	0.0021518007049889	0.159045025417574	88.2	AI5_BETA	Protein of unknown function, encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG 	Mito	24156	25255	1
Q0085	-0.00137190394368417	0.438740740740741	46.25	ATP6	Mitochondrially encoded subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase 	Mito	28487	29266	1
Q0105	-0.00216655532077598	0.487747276688453	-41.3	COB	Cytochrome b, mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p 	Mito	36540	43647	1
Q0110	0.00070746152370138	0.319803195352215	60.3	BI2	Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA 	Mito	36540	38579	1
Q0120	-0.00175031423326354	0.87843718228032	-8.95	BI4	Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA 	Mito	36540	42251	1
Q0130	-0.412639590439723	0.127698620188816	-96.5	OLI1	F0-ATP synthase subunit c (ATPase-associated proteolipid), encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2 	Mito	46723	46953	1
Q0160	0.00716437549483657	0.491906318082789	40.9	SCEI	I-SceI DNA endonuclease, encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene 	Mito	61022	61729	1
Q0250	0.00454968439123206	0.218586782861293	75.9	COX2	Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	73758	74513	1
Q0255	0.0012193400437862	0.678313725490196	24.4	Q0255	Maturase-like protein 	Mito	74495	75984	1
Q0275	0.00813349145676421	0.112455337690632	101.2	COX3	Subunit III of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	79213	80022	1
RDN5-1	-0.000373514983864733	0.718432824981845	21.2	RDN5-1	5S ribosomal RNA (5S rRNA); only complete sequence of 6 repeated RDN5 alleles; able to support viability when provided as sole form of 5S rRNA; component of the large (60S) ribosomal subunit; localized to the nucleolus via interaction with Rpl5p; ma /.../ a role in translational frame fidelity; transcription is mediated by PolIII and activated by TFIIIA and TFIIIE 	XII	459676	459796	1
RDN5-2	0.00501207558260878	0.270112563543936	67.35	RDN5-2	Variant 5S ribosomal rRNA (5S rRNA) gene; located within the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-3, RDN5-4, and RDN5-5 	XII	468813	468931	1
RDN5-6	-0.150507479440537	0.184726942628903	-82.45	RDN5-6	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus 	XII	489349	489469	1
RNA170	-0.353542581568924	0.00962962962962966	-185.65	RNA170	RNA polymerase III transcribed RNA of unknown function, conserved in other yeast species 	XIII	667288	667456	-1
RPR1	0.662596148561259	0.000145243282498184	558.2	RPR1	RNA component of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; may be responsible for recognition of substrate tRNAs 	V	117667	118035	-1
RUF20	-0.0639001582411772	0.0709535221496006	-117.9	RUF20	RNA of Unknown Function 	VI	131061	131503	-1
RUF21	-0.111020862426195	0.0906833696441539	-109.05	RUF21	RNA of Unknown Function 	VI	57815	58521	-1
RUF22	0.00219406171968163	0.246823529411765	71	RUF22	RNA of Unknown Function; precise location of 3' end uncertain; RUF22 may be longer than currently annotated 	VI	199299	199813	-1
RUF23	-0.257766138517248	0.0104669571532316	-182.8	RUF23	RNA of Unknown Function; precise location of 3' end uncertain; RUF23 may be longer than currently annotated 	VI	221714	221967	1
RUF5-1	0.0841892324518486	0.00822294843863468	191.15	RUF5-1	RNA of Unknown Function 	VIII	212409	213118	1
RUF5-2	0.0974007412291864	0.029964415395788	147.55	RUF5-2	RNA of Unknown Function 	VIII	214407	215116	1
SCR1	0.358967954156456	0.00166957153231661	255.8	SCR1	RNA subunit of the Signal Recognition Particle (SRP) 	V	441987	442508	1
SRG1	0.634095225848746	0.000145243282498184	742.3	SRG1	Non-protein-coding RNA that regulates the transcription of SER3; expression of SRG1 RNA represses expression of its neighboring gene SER3 via a transcription-interference mechanism 	V	322212	322762	1
TLC1	-0.0598727166450258	0.0100196078431372	-184.35	TLC1	TLC1 RNA contains a template sequence that Est2p uses to add irregular repeats of TG(1-3) residues onto a DNA end; RNA template component of telomerase 	II	307587	308887	1
YAL001C	-0.152227339779417	0.000297748729121305	-319.7	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding 	I	147594	151166	-1
YAL002W	0.0988212085050403	0.00979811183732753	185.15	VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif 	I	143707	147531	1
YAL003W	0.479451449708167	0.000145243282498184	885.8	EFB1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site 	I	142174	143160	1
YAL005C	0.391393151672913	0.000145243282498184	828.15	SSA1	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identi /.../th Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes 	I	139503	141431	-1
YAL007C	-0.10056152530282	0.00510312273057374	-208.3	ERP2	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles 	I	137698	138345	-1
YAL008W	-0.100486158884384	0.00868336964415394	-189.25	FUN14	Mitochondrial protein of unknown function 	I	136914	137510	1
YAL009W	-0.0862120484879708	0.00924183006535949	-187.05	SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation 	I	135854	136633	1
YAL010C	-0.0375687549718499	0.865761801016703	-9.9	MDM10	Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins 	I	134184	135665	-1
YAL011W	-0.171069096617014	0.000509077705156152	-301.45	SWC3	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae 	I	132199	134076	1
YAL012W	-0.125642238592057	0.000161220043572937	-355.25	CYS3	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine 	I	130799	131983	1
YAL013W	-0.129062016636336	0.000255628177196836	-326.15	DEP1	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation 	I	129270	130487	1
YAL014C	-0.12426529641354	0.00149092229484391	-260.8	SYN8	Endosomal SNARE related to mammalian syntaxin 8 	I	128252	129019	-1
YAL015C	-0.227664058252438	0.000145243282498184	-443	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress 	I	126903	128102	-1
YAL016C-A	0.447515155962313	0.000291938997821382	321.45	YAL016C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	124755	125069	-1
YAL016C-B	-0.307910711880703	0.000145243282498184	-418.85	YAL016C-B	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	124307	124492	-1
YAL016W	0.0341976079752142	0.0594916485112564	124.1	TPD3	Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III 	I	124879	126786	1
YAL017W	0.0104280361701544	0.627252723311547	28.65	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status 	I	120225	124295	1
YAL018C	-0.00137190395280098	0.640847494553377	27.5	YAL018C	Putative protein of unknown function 	I	118564	119541	-1
YAL019W	0.306915848300931	0.000145243282498184	521.95	FUN30	Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies 	I	114919	118314	1
YAL019W-A	0.000701512172687065	0.667875090777052	25.25	YAL019W-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data 	I	114250	114819	1
YAL020C	-0.065637394041943	0.046365286855483	-132.7	ATS1	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle 	I	113614	114615	-1
YAL021C	0.161170362204432	0.000145243282498184	420.45	CCR4	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening 	I	110846	113359	-1
YAL022C	-0.0258997586378912	0.100131445170661	-105.4	FUN26	Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis 	I	108877	110430	-1
YAL023C	0.0589408456073422	0.00461728395061728	212.35	PMT2	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal 	I	106272	108551	-1
YAL024C	-0.0813667963806034	0.01240232389252	-177.05	LTE1	Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures 	I	101565	105872	-1
YAL025C	0.719357859742253	0.000145243282498184	752.6	MAK16	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus 	I	100225	101145	-1
YAL026C	0.0332008598607213	0.279160493827161	66	DRS2	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease 	I	95630	99697	-1
YAL026C-A	-0.322756936701981	0.00126289034132167	-267.9	YAL026C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2 	I	95386	95823	-1
