#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/deseq2.R /cluster/gjb_lab/pschofield/scratch/NOBACK//deseq2/deseq2_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//deseq2/deseq2_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//deseq2/deseq2_package_default.db
# Output created at: 07:04:09
GeneID	log2foldchange	significance	WT	Snf2	GeneName	Description	Chromosome	Start	End	Strand
15S_rRNA	-0.14	0.677	18.34	16.27	15S_RRNA	Ribosomal RNA of the small mitochondrial ribosomal subunit; MSU1 allele suppresses ochre stop mutations in mitochondrial protein-coding genes 	Mito	6546	8194	1
21S_rRNA	-0.24	0.409	114.18	94.72	21S_RRNA	Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease 	Mito	58009	62447	1
HRA1	-0.78	0.000517	3.28	1.84	HRA1	Non-protein-coding RNA, substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA 	I	99305	99868	1
ICR1	0.23	1.59e-10	132.25	155.05	ICR1	Long intergenic ncRNA, has a key role in regulating transcription of the nearby protein-coding ORF MUC1; initiated far upstream from MUC1 and transcribed across much of the large promoter of MUC1, repressing MUC1 transcription in cis 	IX	393884	397082	-1
LSR1	-0.22	0.189	215.71	183.45	LSR1	U2 spliceosomal RNA (U2 snRNA), component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing 	II	680688	681862	-1
NME1	0.02	0.877	26.29	26.6	NME1	RNA component of RNase MRP, which cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; human ortholog is implicated in cartilage-hair hypoplasia (CHH) 	XIV	585587	585926	1
Q0045	0.58	0.0839	1.36	2.17	COX1	Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	13818	26701	1
Q0050	-0.03	0.942	9.65	9.35	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene 	Mito	13818	16322	1
Q0055	0.21	0.546	5.92	6.92	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene 	Mito	13818	18830	1
Q0060	-0.12	0.806	0.28	0.23	AI3	Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene 	Mito	13818	19996	1
