#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/deseq.R /cluster/gjb_lab/pschofield/scratch/NOBACK//deseq/deseq_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//deseq/deseq_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//deseq/deseq_package_default.db
# Output created at: 06:58:45
GeneID	log2foldchange	significance	mean.c1	mean.c2	GeneName	Description	Chromosome	Start	End	Strand
YAR009C	2.46237796195112	0	393.870735683662	2170.71766975168	YAR009C	Retrotransposon TYA Gag and TYB Pol genes; in YARCTY1-1 TYB is mutant and probably non-functional 	I	160597	164187	-1
YAR071W	4.26709689973778	0	167.898488754455	3232.74127556142	PHO11	One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2 	I	225460	226863	1
YBL005W-B	2.19531316771199	0	525.107136271155	2404.93328854874	YBL005W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	II	221330	226598	1
YBR012W-B	2.04214306911523	0	469.054667031154	1931.83389063675	YBR012W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	II	259869	265140	1
YDR033W	3.77726312985786	0	583.678288150688	8002.81987780743	MRH1	Protein that localizes primarily to the plasma membrane, also found at the nuclear envelope; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; has similarity to Hsp30p and Yro2p 	IV	508147	509109	1
YDR098C-B	2.14321418820568	0	522.903409568432	2309.90027955846	YDR098C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	645858	651126	-1
YDR210C-D	2.09923671688604	0	549.391367225161	2354.04657260677	YDR210C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	878659	883927	-1
YDR261C-D	2.59482712495367	0	460.964660958273	2784.76422085732	YDR261C-D	Retrotransposon TYA Gag and TYB Pol genes; in YDRCTY1-3 TYB is mutant and probably non-functional 	IV	987534	992349	-1
YDR281C	3.8536765805823	0	10.8410499775341	156.726917099721	PHM6	Protein of unknown function, expression is regulated by phosphate levels 	IV	1022007	1022321	-1
YDR316W-B	2.29648323662547	0	509.492335847308	2502.92591051958	YDR316W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	1096064	1101332	1
YDR365W-B	2.36133749243397	0	498.292186762584	2560.45703441979	YDR365W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	IV	1206997	1212265	1
YDR406W	2.01251754012522	0	597.101514241018	2409.21921859686	PDR15	Plasma membrane ATP binding cassette (ABC) transporter, multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element 	IV	1279210	1283799	1
YER001W	2.34887865655631	0	221.673574408861	1129.26756898972	MNN1	Alpha-1,3-mannosyltransferase, integral membrane glycoprotein of the Golgi complex, required for addition of alpha1,3-mannose linkages to N-linked and O-linked oligosaccharides, one of five S. cerevisiae proteins of the MNN1 family 	V	153520	155808	1
YER081W	-3.14422143910764	0	8458.92012721998	956.775306407537	SER3	3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis; isozyme of Ser33p 	V	322686	324095	1
YER138C	2.47065376670521	0	499.662155238516	2769.60190722408	YER138C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	V	443756	449024	-1
YER160C	2.23896787371799	0	492.34741883406	2324.17141107583	YER160C	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	V	492856	498124	-1
YFR055W	2.05292311946356	0	387.817093692644	1609.2309815078	IRC7	Beta-lyase involved in the production of thiols; null mutant displays increased levels of spontaneous Rad52p foci; expression induced by nitrogen limitation in a GLN3, GAT1-dependent manner and by copper levels in a Mac1-dependent manner 	VI	264204	265226	1
YGR027W-B	2.38974097188949	0	595.964763349521	3123.23236943672	YGR027W-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	536057	541325	1
YGR038C-B	2.27409806471237	0	568.995984012108	2752.20596448416	YGR038C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	562199	567467	-1
YGR087C	-2.75211304948329	0	171.19036220812	25.4103549406925	PDC6	Minor isoform of pyruvate decarboxylase, decarboxylates pyruvate to acetaldehyde, involved in amino acid catabolism; transcription is glucose- and ethanol-dependent, and is strongly induced during sulfur limitation 	VII	651290	652981	-1
YGR161C-D	2.08209985804404	0	604.395861383392	2559.1514793276	YGR161C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VII	817747	823015	-1
YGR234W	4.21891362088598	0	317.433151194974	5911.14794984182	YHB1	Nitric oxide oxidoreductase, flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses 	VII	959904	961103	1
YHR214C-B	2.19788708823787	0	581.156327928987	2666.38533236313	YHR214C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes 	VIII	543964	549346	-1
