#
# This file created with command: /sw/opt/R/3.2.2/bin/Rscript /cluster/gjb_lab/pschofield/Projects/grna_dag/Github_cleanup/DE_tool_scripts/edgeR.R /cluster/gjb_lab/pschofield/scratch/NOBACK//edgeR/edgeR_package_default//R_exprsFile.txt /cluster/gjb_lab/pschofield/scratch/NOBACK//edgeR/edgeR_package_default//R_phenoFile.txt "                      "/cluster/gjb_lab/pschofield/scratch/NOBACK//edgeR/edgeR_package_default.db
# Output created at: 07:06:59
GeneID	log2foldchange	significance	Snf2	WT	GeneName	Description	Chromosome	Start	End	Strand
15S_rRNA	0.15	0.686	1.9	2.13	15S_RRNA	Ribosomal RNA of the small mitochondrial ribosomal subunit; MSU1 allele suppresses ochre stop mutations in mitochondrial protein-coding genes 	Mito	6546	8194	1
21S_rRNA	0.26	0.4	11.06	13.23	21S_RRNA	Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease 	Mito	58009	62447	1
HRA1	0.79	0.000371	0.21	0.38	HRA1	Non-protein-coding RNA, substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA 	I	99305	99868	1
ICR1	-0.24	9.08e-10	18.09	15.34	ICR1	Long intergenic ncRNA, has a key role in regulating transcription of the nearby protein-coding ORF MUC1; initiated far upstream from MUC1 and transcribed across much of the large promoter of MUC1, repressing MUC1 transcription in cis 	IX	393884	397082	-1
LSR1	0.22	0.183	21.41	25.02	LSR1	U2 spliceosomal RNA (U2 snRNA), component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing 	II	680688	681862	-1
NME1	-0.03	0.863	3.1	3.05	NME1	RNA component of RNase MRP, which cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; human ortholog is implicated in cartilage-hair hypoplasia (CHH) 	XIV	585587	585926	1
Q0045	-0.66	0.0709	0.25	0.16	COX1	Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	13818	26701	1
Q0050	0.02	0.96	1.09	1.12	AI1	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene 	Mito	13818	16322	1
Q0055	-0.25	0.546	0.81	0.69	AI2	Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene 	Mito	13818	18830	1
Q0060	0.12	0.899	0.03	0.03	AI3	Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene 	Mito	13818	19996	1
Q0065	0.56	0.354	0.02	0.04	AI4	Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity 	Mito	13818	21935	1
Q0070	-0.12	1	0	0	AI5_ALPHA	Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene 	Mito	13818	23167	1
Q0075	0.85	0.147	0.01	0.02	AI5_BETA	Protein of unknown function, encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG 	Mito	24156	25255	1
Q0085	-0.33	0.564	0.08	0.07	ATP6	Mitochondrially encoded subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase 	Mito	28487	29266	1
Q0105	-0.49	0.369	0.09	0.07	COB	Cytochrome b, mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p 	Mito	36540	43647	1
Q0110	0.01	1	0.01	0.01	BI2	Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA 	Mito	36540	38579	1
Q0120	-0.88	0.0493	0.04	0.02	BI4	Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA 	Mito	36540	42251	1
Q0130	-0.42	0.18	0.49	0.37	OLI1	F0-ATP synthase subunit c (ATPase-associated proteolipid), encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2 	Mito	46723	46953	1
Q0160	0.25	0.56	0.14	0.17	SCEI	I-SceI DNA endonuclease, encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene 	Mito	61022	61729	1
Q0250	-0.08	0.92	0.18	0.18	COX2	Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	73758	74513	1
Q0255	-0.82	0.186	0.02	0	Q0255	Maturase-like protein 	Mito	74495	75984	1
Q0275	0.23	0.65	0.17	0.21	COX3	Subunit III of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits 	Mito	79213	80022	1
RDN5-1	0.06	0.832	10.28	10.72	RDN5-1	5S ribosomal RNA (5S rRNA); only complete sequence of 6 repeated RDN5 alleles; able to support viability when provided as sole form of 5S rRNA; component of the large (60S) ribosomal subunit; localized to the nucleolus via interaction with Rpl5p; ma /.../ a role in translational frame fidelity; transcription is mediated by PolIII and activated by TFIIIA and TFIIIE 	XII	459676	459796	1
RDN5-2	0.34	0.0803	0.44	0.56	RDN5-2	Variant 5S ribosomal rRNA (5S rRNA) gene; located within the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-3, RDN5-4, and RDN5-5 	XII	468813	468931	1
RDN5-6	-0.04	0.917	5.27	5.13	RDN5-6	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus 	XII	489349	489469	1
RNA170	-0.51	5.49e-08	2.14	1.51	RNA170	RNA polymerase III transcribed RNA of unknown function, conserved in other yeast species 	XIII	667288	667456	-1
RPR1	1.3	2.1e-17	3.78	9.35	RPR1	RNA component of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; may be responsible for recognition of substrate tRNAs 	V	117667	118035	-1
RUF20	-0.19	0.0536	15.97	14.04	RUF20	RNA of Unknown Function 	VI	131061	131503	-1
RUF21	-0.29	0.249	5.12	4.19	RUF21	RNA of Unknown Function 	VI	57815	58521	-1
RUF22	0.59	0.404	0.01	0.02	RUF22	RNA of Unknown Function; precise location of 3' end uncertain; RUF22 may be longer than currently annotated 	VI	199299	199813	-1
RUF23	-0.41	0.00179	1.04	0.8	RUF23	RNA of Unknown Function; precise location of 3' end uncertain; RUF23 may be longer than currently annotated 	VI	221714	221967	1
RUF5-1	0.18	0.0619	35.31	39.89	RUF5-1	RNA of Unknown Function 	VIII	212409	213118	1
RUF5-2	0.18	0.0649	22.99	26.06	RUF5-2	RNA of Unknown Function 	VIII	214407	215116	1
SCR1	0.32	0.299	49.67	61.85	SCR1	RNA subunit of the Signal Recognition Particle (SRP) 	V	441987	442508	1
SRG1	1.21	3.22e-58	13.94	32.37	SRG1	Non-protein-coding RNA that regulates the transcription of SER3; expression of SRG1 RNA represses expression of its neighboring gene SER3 via a transcription-interference mechanism 	V	322212	322762	1
TLC1	-0.21	5.61e-07	192.17	166	TLC1	TLC1 RNA contains a template sequence that Est2p uses to add irregular repeats of TG(1-3) residues onto a DNA end; RNA template component of telomerase 	II	307587	308887	1
YAL001C	-0.37	2.66e-21	74.31	57.29	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding 	I	147594	151166	-1
YAL002W	0.13	0.000749	54.43	59.75	VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif 	I	143707	147531	1
YAL003W	0.86	9.65e-90	723.51	1314.11	EFB1	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site 	I	142174	143160	1
YAL005C	0.74	4.73e-37	1042.01	1735.03	SSA1	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identi /.../th Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes 	I	139503	141431	-1
